Key,PL,TR,Notes
Timeline2,"Każda <tag>Umiejętność</> ma swoje <tag>tempo</>.<br><br>Wolniejsze umiejętności są potężniejsze, ale wymagają przygotowania. Stwarza to ryzyko, że wróg zaatakuje cię pierwszy.","Her <tag>Yeteneğin</> kendi <tag>hızı</> vardır.<br><br>Yavaş yetenekler daha güçlüdür ama hazırlık gerektirir. Bu düşmanın sana önce saldırma riskini doğurur.",
UpgradeChains,"Każda <tag>Umiejętność</> może zostać <tag>Ulepszona</>. Umieść <tag>Ulepszenie</> w wyznaczonym miejscu na ikonie <tag>Umiejętności</>. Każde ulepszenie zajmuje określoną przestrzeń. Decyduj mądrze.",Her <tag>Yetenek</> <tag>Yükseltilebilir</>. <tag>Yükseltmeyi</> <tag>Yetenek</> simgesindeki ayrılmış yuvaya yerleştir. Her yükseltme belirli bir alan kaplar. Akıllıca karar ver.,
WinCondition,"Jeżeli wrogowie stracą wszystkie [HP], wygrasz walkę. [HP] wrogów widnieją na paskach pod ich stopami. Twoje [HP] znajdziesz w lewym dolnym rogu ekranu.",Düşmanlar tüm [HP] değerlerini yitirirse savaşı kazanırsın. Düşman [HP] çubukları ayaklarının altında görünür. Kendi [HP] değerini ekranın sol alt köşesinde görürsün.,
NewSalutor,"Pokonujesz <tag>Bukavacza</>, salutora z Wymiaru <tag>Czynu</>, ale sam nie potrafisz go poskromić. Z pomocą przychodzi ci Rasputin.<br>Niespokojny salutor nie słucha rozkazów, odbiera ci możliwość rozwoju oraz osłabia twoją <tag>Percepcję</>. Na szczęście <tag>Rasputin ukoił jego gniew</>. Osiągnąłeś to, co nieosiągalne.","<tag>Eylem</> Boyutundan bir salutor olan <tag>Bukavac</>ı yendin, ama kendin onu ehlileştiremezsin. İmdadına Rasputin yetişir.<br>Huzursuz salutor emirleri dinlemez, gelişim fırsatını elinden alır ve <tag>Algı</>nı zayıflatır. Neyse ki <tag>Rasputin öfkesini yatıştırdı</>. Erişilmezi elde ettin.",
NewSalutorSmall,"Schwytane, ale niespokojne salutory nie będą słuchać twoich rozkazów. Udaj się do Rasputina, aby je poskromić.",Yakalanmış ama huzursuz salutorlar emirlerini dinlemez. Onları ehlileştirmek için Rasputin'e git.,
InsightsSmall,Użyj <tag>Percepcji</> aby odkryć to co ukryte.,Gizli olanı ortaya çıkarmak için <tag>Algı</>yı kullan.,
Wardrobe,"Jeżeli chcesz się przebrać, skorzystaj z szafy. Kolekcję ubrań możesz powiększyć, udając się do krawca.",Kıyafet değiştirmek istiyorsan gardıropu kullan. Kıyafet koleksiyonunu terziye giderek büyütebilirsin.,
PlayerFlawPride,"Wielu ludzi ma <tag>Skazy</>, ale tylko thaumaturgowie są świadomi ich istnienia. Są one rysami na osobowości, które rodzą się w wyniku burzliwych doświadczeń. To do nich lgną salutory i to one pozwalają młodym thaumaturgom zawrzeć Pakt z ich pierwszym salutorem. Twoją Skazą jest <tag>Duma</>. Jeżeli będziesz ją pielęgnować poprzez dokonywanie odpowiednich wyborów, z czasem wpłynie na bieg wydarzeń.",Çoğu insanda <tag>Kusurlar</> vardır ama bunların varlığını yalnızca tılsımkârlar bilir. Çalkantılı deneyimler sonucu kişiliğe kazınan çatlaklardır. Salutorlar onlara çekilir ve genç tılsımkârların ilk salutorlarıyla Ant kurmasına olanak sağlar. Senin Kusurun <tag>Kibir</>. Doğru seçimlerle onu beslersen zamanla olayların akışını etkiler.,
UpyrVisions,"Kiedy obszar spowija czerwona mgła, jest to znak, że <tag>Upyr</> pragnie ci coś pokazać. Kieruj się tam gdzie mgła jest rzadsza, trzymaj się z daleka od miejsc, w których gęstnieje. I pamiętaj, <tag>Upyr nie lubi być ignorowany.</> Jeśli wejdziesz we mgłę, wizja zniknie.","Bir bölge kırmızı sise büründüğünde, <tag>Upyr</>in sana bir şey göstermek istediğine işarettir. Sisin seyreldiği yere yönel, yoğunlaştığı yerlerden uzak dur. Ve unutma — <tag>Upyr görmezden gelinmeyi sevmez.</> Sisin içine girersen vizyon kaybolur.",
RasputinBossFight,"Rasputin używa twojej więzi z Bukavacem przeciwko tobie, wywołując u ciebie niekończący się stan <tag>Jarzmo Bukavaca</>. Tylko od ciebie zależy, czy będziesz dźwigać to brzemię, czy je z siebie zrzucisz, <tag>zrywając więź</> z tym salutorem. Po zerwaniu więzi, pozbędziesz się Jarzma, ale też <tag>utracisz Bukavaca na zawsze</>.<br><br>Rasputin nie omieszka wkrótce wykorzystać więzi z pozostałymi salutorami w ten sam sposób.","Rasputin, Bukavac ile kurduğun bağı sana karşı kullanarak sende bitmek bilmez bir <tag>Bukavac Boyunduruğu</> durumu yaratır. Bu yükü taşımak ya da o salutorla <tag>bağını koparıp</> üstünden atmak sana kalmış. Bağı koparırsan Boyunduruktan kurtulursun, ama <tag>Bukavac'ı da sonsuza dek yitirirsin</>.<br><br>Rasputin diğer salutorlarla bağlarını da yakında aynı yöntemle kullanmaktan geri durmayacak.",
InventoryPanel,"Dobytek to wszystkie posiadane przez ciebie przedmioty, także te wchodzące w skład Kolekcji.","Eşya, sahip olduğun tüm nesneleri içerir — Koleksiyonlardakiler dahil.",
MapPanel,"Mapa pokazuje interesujące obiekty i miejsca, a także pozwala śledzic zadania.","Harita, ilgi çekici nesneleri ve yerleri gösterir; ayrıca görevleri takip etmeni sağlar.",
GlossaryPanel,"Tutaj trafiają wszystkie zdobyte Spostrzeżenia i Wnioski, a także inne informacje, stanowiące cenne źródło wiedzy o świecie.","Edindiğin tüm Gözlemler ve Çıkarımlar ile dünyaya dair değerli bilgi kaynağı oluşturan diğer bilgiler buraya gelir.",
ProgressionPanel,"To miejsce, w którym możesz wydawać Punkty Thaumaturgii, zdobywać Ulepszenia czy przyglądać się możliwościom salutorów.","Tılsımkârlık Puanlarını harcayabileceğin, Yükseltmeler edinebileceğin ya da salutorların yeteneklerini inceleyebileceğin yer.",
JournalPanel,"Zawiera opisy i cele twoich zadań. Oprócz przeglądania, możesz swobodnie zmieniać, które z nich chcesz śledzić.",Görevlerinin açıklamalarını ve hedeflerini içerir. İncelemenin yanı sıra hangisini takip edeceğini serbestçe değiştirebilirsin.,
TimeSkipBench,"W rozmaitych miejscach w Warszawie znajdują się ławeczki, na których możesz zaczekać na inną porę dnia. Pewne wydarzenia mogą odbyć się tylko o określonej porze, warto więc z nich korzystać.","Varşova'nın çeşitli yerlerinde günün başka bir vaktini bekleyebileceğin banklar bulunur. Bazı olaylar yalnızca belirli zamanlarda yaşandığından bunlardan yararlanmak iyi olur.",
TrackingObjectives,"Zadania posiadają <tag>wiele celów</>, swobodnie wybierz ten, który chcesz śledzić. Po wybraniu nowego celu, ten wskaże ci drogę.<br>Czasem ta droga jest na tyle tajemnicza, że umyka nawet wytrawnemu thaumaturgowi. Bez obaw. Pozostałe cele dostarczą sposobu na rozwiązanie zadania.","Görevlerin <tag>birden çok hedefi</> vardır; takip etmek istediğini serbestçe seç. Yeni bir hedef seçince o hedef sana yolu gösterir.<br>Bazen bu yol tecrübeli bir tılsımkâra bile kaçacak kadar gizemlidir. Endişe etme. Diğer hedefler görevi çözmek için bir yol sunacaktır.",
