Key,PL,TR,Notes
Blunt_Slow_03,Planowane uderzenie,Planlı Darbe,
Blunt_Slow_04,Zdruzgotanie czaszki,Kafatası Dağıtma,
Blunt_Slow_05,Srogi obuch,Sert Topuz,
Blunt_H,Ogłuszająca kombinacja,Sersemletici Kombinasyon,
Derringer_Fast_01,Raniący pocisk,Yaralayıcı Mermi,
Derringer_Medium_01,Penetrujący pocisk,Delici Mermi,
Derringer_Slow_01,Rozrywający pocisk,Parçalayıcı Mermi,
Derringer_H,Amunicja powalająca,Devirici Mermi,
Firearms_Fast_01,Szybki strzał,Hızlı Atış,
Firearms_Fast_02,Stylowy strzał,Zarif Atış,"Stylowy = şık/zarif; dönem tınısı için ""zarif"""
Firearms_Medium_01,Celny strzał,İsabetli Atış,
Firearms_Medium_02,Precyzjny strzał,Hassas Atış,"PL tipo (Precyzyjny olmalı); TR'de düzgün"
Firearms_Slow_01,Cyzelowany strzał,İtinalı Atış,"Cyzelować = ince işlemek"
Firearms_Slow_02,Mierzony strzał,Nişanlı Atış,
Fist_Body_01_Fast_01,Posiniaczenie,Morartma,
Fist_Body_01_Medium_01,Potłuczenie,Bereleme,
Fist_Body_01_Slow_01,Poturbowanie,Hırpalama,
Fist_Body_02_Fast_01,Przetrzepanie skóry,Post Silkme,Türkçe deyim: dayak atmak
Fist_Body_02_Fast_02,Ciągła presja,Sürekli Baskı,
Fist_Body_02_Medium_01,Uderzenie w korpus,Gövdeye Darbe,
Fist_Body_02_Medium_02,Całym sobą,Var Gücüyle,
Fist_Body_02_Slow_01,Porządek ciosów,Yumruk Dizisi,
Fist_Body_02_Slow_02,Zmasakrowanie,Katletme,
Fist_Head_01_Fast_01,Szybki wymach,Hızlı Savurma,
Fist_Head_01_Fast_02,Hak,Kroşe,Boks terimi
Fist_Head_01_Medium_01,Wolny wymach,Yavaş Savurma,
Fist_Head_01_Medium_02,Gong,Gong,Boks referansı
Fist_Head_01_Slow_01,Potężny wymach,Güçlü Savurma,
Fist_Head_01_Slow_02,Ryjcopranie,Suratı Dağıtma,"Ryj = surat (argo); PL kaba"
Fist_Head_02_Fast_01,Szybka pięść,Hızlı Yumruk,
Fist_Head_02_Fast_02,Błyskawiczny cios,Yıldırım Darbesi,
Fist_Head_02_Medium_01,Ciężka pięść,Ağır Yumruk,
Fist_Head_02_Medium_02,Odważny cios,Cesur Darbe,
Fist_Head_02_Slow_01,Miażdżąca pięść,Ezici Yumruk,
Fist_Head_02_Slow_02,Potężny cios,Güçlü Darbe,
Fist_Kick_01_Fast_01,Szybki kopniak,Hızlı Tekme,
Fist_Kick_01_Medium_01,Kopniak,Tekme,
Fist_Kick_01_Slow_01,Obalający kopniak,Devirici Tekme,
Fist_Throw_01,Rzut,Fırlatma,
Fist_H,Łamignat,Kemik Kıran,
Knife_01_Fast_01,Płytkie cięcie,Yüzeysel Kesik,
Knife_01_Medium_01,Prezycyjne cięcie,Hassas Kesik,PL tipo (Precyzyjne olmalı)
Knife_01_Slow_01,Głębokie cięcie,Derin Kesik,
Knife_02_Fast_01,Wątłe pchnięcie,Zayıf Saplama,
Knife_02_Medium_01,Zdradliwie pchnięcie,Haince Saplama,
Knife_02_Slow_01,Głębokie pchnięcie,Derin Saplama,
Knife_H,Nawałnica cięć,Kesik Fırtınası,Nawałnica = sağanak/fırtına
Pistol_H,Amunicja specjalna,Özel Mermi,
Rifle_Fast_01,Strzał na oślep,Körlemesine Atış,
Rifle_Medium_01,Amatorski strzał,Acemi Atışı,
Rifle_Slow_01,Przymierzony strzał,Nişan Almış Atış,
Rifle_H,Snajperski strzał,Keskin Nişancı Atışı,
Sabre_01_Fast_01,Szybkie cięcie,Hızlı Kesik,
Sabre_01_Fast_02,Sieknięcie,Şak Kesme,Sieknąć = hızlı yatay kesmek
Sabre_01_Medium_01,Precyzyjne cięcie,Hassas Kesik,
Sabre_01_Medium_02,Wzdłuż ciała,Boydan Boya,"Lit: vücut boyunca"
Sabre_01_Slow_01,Żgnięcie,Saplama,
Sabre_01_Slow_02,Rozpłatanie,Yarma,
Sabre_02_Fast_01,Raniące ostrze,Yaralayıcı Kılıç,
Sabre_02_Medium_01,Przebijające ostrze,Delici Kılıç,
Sabre_02_Slow_01,Powolne ostrze,Yavaş Kılıç,
Sabre_H,Zabójcza kombinacja,Öldürücü Kombinasyon,
Fist_Ally_01,Szybki prosty,Hızlı Direkt,Boks: direkt yumruk
Fist_Ally_02,Prawy sierpowy,Sağ Kroşe,Boks terimi
Buff_Heal_HP_01,Uzdrowienie,Şifa,
Buff_Heal_HP_02,Doraźna pomoc,Acil Yardım,
Buff_Heal_Focus_01,Psychoterapia,Psikoterapi,
Buff_Heal_Focus_02,"Spokojnie, panowie","Sakin Olun, Beyler",
Buff_Dmg_01,Podżeganie,Kışkırtma,
Buff_Dmg_02,Kamraci!,Yoldaşlar!,Dönem tınısı (sol hareket referansı)
Buff_Def_01,Policyjna osłona,Polis Kalkanı,
Buff_Speed_01,Szybciej!,Daha Hızlı!,
Debuff_Mark_01,Oznaczenie wroga,Düşmanı İşaretleme,
