Key,PL,TR,Notes
Menu_QuitWarning2,Niezapisany postęp zostanie utracony. Czy na pewno chcesz opuścić grę?,Kaydedilmemiş ilerleme kaybolacak. Oyundan çıkmak istediğinden emin misin?,
Menu_SaveDeleteWarning,Czy na pewno chcesz usunąć wybrany zapis?,Seçili kaydı silmek istediğinden emin misin?,
Menu_SaveDelete,Usuń zapis,Kaydı Sil,
Journal_Active,Bieżące zadania,Güncel Görevler,
Journal_Completed,Ukończone zadania,Tamamlanan Görevler,
Progression_Tree,Drzewko Wymiarów,Boyut Ağacı,
Menu_Credits,Twórcy,Jenerik,
Menu_Apply,Zastosuj zmiany,Değişiklikleri Uygula,
Menu_Cancel,Cofnij zmiany,Değişiklikleri Geri Al,
Barber_Haircut,Fryzura,Saç Kesimi,
Barber_FacialHair,Zarost,Sakal,
Barber_Apply,Ostrzyż się i wyjdź,Tıraş Ol ve Çık,
Menu_SettingsRestartWarning,Zmiany będą widoczne dopiero po ponownym uruchomieniu gry,Değişiklikler oyunu yeniden başlattığında görünür olacak,
Barber_HairColor,Kolor,Renk,
Glossary_Category_Description,Teksty,Metinler,
Glossary_Category_Conclusion,Wnioski,Çıkarımlar,
Glossary_Category_Faction,Frakcje,Hizipler,
Glossary_Category_Location,Lokacje,Lokasyonlar,
Glossary_Category_Character,Osoby,Kişiler,
Glossary_Category_Salutor,Salutory,Salutorlar,
Glossary_Category_Lore,Fabularne,Hikâye,
Buy,Rozwiń,Geliştir,"'Buy' key ama Polonya'da 'Rozwiń' (geliştir) — yükseltme satın alma bağlamı"
Journal_QuestTimer,"Zadania takie jak to, nie będą czekały wiecznie.","Bunun gibi görevler sonsuza dek beklemez.",
Journal_QuestCombatDifficulty,Walki w ramach tego zadania mogą stanowić wyzwanie.,Bu görevdeki savaşlar zorlayıcı olabilir.,
Journal_DemandingCombat,Wymagająca walka,Zorlayıcı Savaş,
Journal_TimerIndicator_1,Szansa na ukończenie tego zadania kiedyś przeminie.,Bu görevi tamamlama şansı bir gün kaybolacak.,
Journal_TimerIndicator_2,Szansa na ukończenie tego zadania wkrótce przeminie.,Bu görevi tamamlama şansı yakında kaybolacak.,
Journal_TimerIndicator_3,Szansa na ukończenie tego zadania przeminęła.,Bu görevi tamamlama şansı kayboldu.,
Journal_CompletedQuest,Zadanie zakończone,Görev Tamamlandı,
Menu_Graphics,Grafika,Grafik,
Menu_Gameplay,Rozgrywka,Oynanış,
Menu_Mouse&Keyboard,Mysz i klawiatura,Fare ve Klavye,
Menu_ControllerScheme,Kontroler,Kumanda,
Menu_Interface,Interfejs,Arayüz,
Common_Help,Pomoc,Yardım,
Panel_Show/HideAll,Zwiń/Rozwiń wszystko,Tümünü Daralt/Genişlet,
Common_More,Więcej,Daha Fazla,
Panel_InventoryWardrobe,Przebierz się i wyjdź,Giyin ve Çık,
Menu_Accessibility,Dostępność,Erişilebilirlik,
Menu_AutoSave,Zapis automatyczny,Otomatik Kayıt,
Menu_NewSave,Nowy zapis,Yeni Kayıt,
Menu_OverrideSave,Nadpisz,Üzerine Yaz,
Menu_SaveNameEmpty,Nazwa nie może być pusta,Ad boş olamaz,
Menu_SaveNameInvalid,Nazwa zawiera znaki specjalne * : | ? / > \ <,Ad özel karakter içeriyor * : | ? / > \ <,
Menu_ChoseSaveSlot,Wybierz miejsce zapisu,Kayıt yuvası seç,
Menu_Brightness,Jasność,Parlaklık,
Menu_Brightness_AdjustText,"Reguluj, aż najciemniejszy symbol będzie ledwo widoczny.",En koyu sembol zor görünecek şekilde ayarla.,
Menu_SettingsResetWarning,Czy na pewno chcesz wrócić do domyślnych ustawień gry?,Varsayılan oyun ayarlarına dönmek istediğinden emin misin?,
Menu_DefaultSettingsButton,Przywróć domyślne,Varsayılana Dön,
Glossary_Category_Organizations,Organizacje,Örgütler,
Progression_HideUI,Ukryj interfejs,Arayüzü Gizle,
Journal_Category_POI,Miejskie tajemnice,Şehrin Gizemleri,
Menu_SettingsRebinging,Klawisze,Tuşlar,
PreviousPanel,Poprzedni panel,Önceki Panel,
Panel_NextCategory,Nestępna kategoria,Sonraki Kategori,
Panel_PreviousCategory,Poprzednia kategoria,Önceki Kategori,
Menu_SettingsRebindExploration,Eksploracja,Keşif,
Menu_SettingsRebindCombat,Walka,Savaş,
Menu_SettingsRebindDialogue,Dialogi,Diyaloglar,
Menu_SettingsRebindPanels,Panele,Paneller,
Panel_InputUp,W górę,Yukarı,
Panel_InputDown,W dół,Aşağı,
Panel_InputRight,W prawo,Sağa,
Panel_InputLeft,W lewo,Sola,
Panel_Function1,Funkcja 1,İşlev 1,
Panel_Function2,Funkcja 2,İşlev 2,
Journal_QuestCannotBeActivated_Now,Śledzenie innych zadań jest obecnie niemożliwe.,Şu anda başka görevler takip edilemez.,
Menu_PressAnyKey,Naciśnij dowolny przycisk.,Bir tuşa bas.,
Menu_Newsfeed,Nowości od 11 bit studios,11 bit studios'tan Haberler,
Menu_FollowUs,Obserwuj nas,Bizi Takip Et,
