Key,PL,TR,Notes
ACH_joined_committee_desc,W grupie siła. Przyłącz się do Komitywy.,Birlik güçtür. Cemiyete katıl.,
ACH_joined_rasputin_desc,Zaufaj planowi Rasputina i dołącz do niego.,Rasputin'in planına güven ve ona katıl.,
ACH_wanted_letters_desc,Zerwij wszystkie listy gończe ze swoją podobizną.,Resminin yer aldığı tüm arananlar ilanlarını indir.,
ACH_q401_ending_desc,Dotrwaj do końca tej przygody.,Bu maceranın sonuna dek dayan.,
ACH_q401_secret_ending_desc,Rzuć wszystko i na zawsze ucieknij z Warszawy.,Her şeyi bırak ve sonsuza dek Varşova'dan kaç.,
ACH_q401_rasputin_friend_desc,Dostań się na carski dwór jako przyjaciel Rasputina.,Rasputin'in arkadaşı olarak Çar sarayına gir.,
ACH_q401_rasputin_servant_desc,"Wykorzystaj Rasputina, by dostać się na carski dwór.",Çar sarayına girmek için Rasputin'i kullan.,
ACH_q401_rasputin_dead_desc,Zostań Krwawym Thaumaturgiem cara Mikołaja II.,II. Nikolay'ın Kanlı Tılsımkârı ol.,
ACH_q401_committee_pps_dead_desc,Osiągnij okupione krwią zwycięstwo u boku Komitywy.,Cemiyet yanında kanla kazanılmış bir zafere ulaş.,
ACH_q401_committee_peace_desc,Zdobądź pełną przychylność cara u boku Komitywy.,Cemiyet yanında Çar'ın tam teveccühünü kazan.,
ACH_all_sketches_desc,Naszkicuj wszystkie okoliczne atrakcje.,Civardaki tüm ilgi çekici yerleri eskizle.,
ACH_all_photos_desc,Obejrzyj wszystkie zdjęcia ze stereografów.,Tüm stereoskopik fotoğrafları incele.,
ACH_all_records_desc,Zbierz wszystkie płyty patefonowe.,Tüm gramofon plaklarını topla.,
ACH_all_clothes_desc,Zbierz wszystkie zestawy ubrań.,Tüm kıyafet takımlarını topla.,
ACH_lw_smc_done_desc,"Doprowadź do końca sprawy Pietii, robotników oraz Lechitów.","Pietia, işçiler ve Lechitlerin işlerini sonuçlandır.",
ACH_smg01_liar_liar_desc,"Poznaj prawdę na temat Pietii, ale i tak kryj go przed wujkiem Saszą.","Pietia hakkındaki gerçeği öğren, ama yine de onu Sasha amcadan gizle.",
ACH_saddle_ordered_desc,Bucefał zasługuje na iście luksusowe siodło. Zamawiaj!,Bucefał gerçekten lüks bir eyeri hak ediyor. Sipariş ver!,Bucefał = Wiktor'un atı
ACH_smc03_love_finds_way_desc,Przekaż Reginie Wiśniewskiej ostatnie myśli jej męża.,Regina Wiśniewska'ya kocasının son düşüncelerini ilet.,
ACH_lw_smg_done_desc,"Zaangażuj się w sprawę Uniwersytetu Latającego i zobacz, jak to się skończy.","Uçan Üniversite davasına kendini ada ve bunun sonunu gör.",
ACH_smg01_donuts_desc,Przynieś pączki na wykład w antykwariacie.,Antikacıdaki derse çörek getir.,
ACH_uni_saved_desc,Doprowadź do legalizacji Uniwersytetu Latającego.,Uçan Üniversite'nin yasallaşmasını sağla.,
ACH_cm01_papa_home_desc,Pozwól prochom ojca wrócić do domu.,Babanın küllerinin eve dönmesine izin ver.,
ACH_pw01_i_know_abaurycy_desc,Spróbuj wydostać się z kłopotów powołując się na Abaurycego.,Abaurycy'nin adını kullanarak belâdan sıyrılmayı dene.,
ACH_pw02_got_morana_desc,"Złap Moranę, salutora z Powiśla.",Powiśle'li salutor Morana'yı yakala.,
ACH_pw02_nobody_moves_desc,Doprowadź do bezkrwawego rozwiązania konfliktu.,Çatışmanın kansız çözümünü sağla.,
ACH_grz01_got_djinn_desc,"Złap Djinna, który zwodzi wędrowców na Mirowie.",Mirów'da gezginleri yanıltan Djinn'i yakala.,
ACH_grz01_gave_away_djinn_desc,Podaruj Djinna Leili.,Djinn'i Leila'ya hediye et.,
ACH_grz01_well_fight_desc,Wygraj walkę z Alim przy wodopoju.,Ali ile su kaynağındaki savaşı kazan.,
ACH_smg02_long_lecture_desc,Omów ze studentami wszystkie przygotowane rekwizyty.,Öğrencilerle hazırlanan tüm malzemeleri tartış.,
ACH_bzr01_kafar_saved_desc,"Pomóż Abaurycemu w jego wendecie, jak za starych, dobrych czasów.","Eski güzel günlerdeki gibi Abaurycy'e kan davasında yardım et.",
ACH_pp01_got_krampus_desc,Nie pozwól Krampusowi umknąć. Złap go!,Krampus'un kaçmasına izin verme. Onu yakala!,
ACH_combat_full_health_desc,"Wygraj walkę, mając pełnię Punktów Życia.",Tam Can Puanı'yla savaşı kazan.,
ACH_combat_states_desc,Wygraj walkę jedynie dzięki nakładaniu Stanów na wrogów.,Savaşı yalnızca düşmanlara Durum uygulayarak kazan.,
ACH_combat_6_rounds_desc,Wygraj potyczkę w nie więcej niż sześć rund.,Bir savaşı altı turdan fazla sürmeden kazan.,
ACH_combat_never_attacked_desc,Nie pozwól wrogom wyprowadzić ataku podczas walki.,Savaşta düşmanların saldırı yapmasına izin verme.,
ACH_combat_champion_of_ring_desc,Wygraj wszystkie walki na ringu na Powiślu.,Powiśle'deki ringin tüm savaşlarını kazan.,
ACH_combat_30_enemies_stunned_desc,Rozbij Skupienie dwudziestu pięciu wrogów.,Yirmi beş düşmanın Odağını kır.,
ACH_combat_let_them_suffer_desc,Po stokroć nałóż na wrogów Stan Cierpienie.,Düşmanlara yüz kez Acı Durumu uygula.,
ACH_combat_break_action_desc,Opóźnij lub przerwij akcję pięćdziesięciu wrogom.,Elli düşmanın eylemini geciktir ya da kes.,
ACH_combat_deal_1001_dmg_desc,Zadaj tysiąc i jedno Obrażenie swoim wrogom.,Düşmanlarına bin bir Hasar ver.,
ACH_combat_win_low_health_desc,Wygraj walkę mając mniej niż sześć Punktów Życia.,Altı Can Puanı'ndan azıyla savaşı kazan.,
ACH_full_dim_heart_desc,Okaż trochę Serca. Rozwiń w pełni ten wymiar.,Biraz Yürek göster. Bu boyutu tamamen geliştir.,
ACH_full_dim_deed_desc,Okaż Czynne zaangażowanie i rozwiń w pełni ten wymiar.,Eylemli bağlılık göster ve bu boyutu tamamen geliştir.,
ACH_full_dim_mind_desc,Zrób to naUmyślnie - rozwiń w pełni wymiar Umysł.,Bunu bilerek yap — Akıl boyutunu tamamen geliştir.,PL'de wordplay: naUmyślnie (umyślnie = kasten)
ACH_full_dim_word_desc,Słowo się rzekło. Rozwiń w pełni ten wymiar.,Söz söylendi. Bu boyutu tamamen geliştir.,
ACH_full_pride_desc,"Kieruj się Dumą i pozwól, żeby twoja Skaza dojrzała.",Kibir'e kapıl ve Kusurunun olgunlaşmasına izin ver.,
ACH_all_upyr_visions_desc,"Doświadcz wszystkich wizji, które chce ci pokazać Upyr.",Upyr'in sana göstermek istediği tüm vizyonları yaşa.,
ACH_all,Thaumaturg,Tılsımkâr,
ACH_all_desc,Zdobądź wszystkie trofea.,Tüm kupaları kazan.,
ACH_combat_no_salutor_lost,Nikomu was nie oddam,Hiçbirinizi Kimseye Vermem,
ACH_combat_no_salutor_lost_desc,"Pokonaj Rasputina, nie poświęcając żadnego z salutorów.",Hiçbir salutoru feda etmeden Rasputin'i yen.,
