Key,PL,TR,Notes
Krampus_H,"Dodatkowo wymienia brakujące [FOCUS] wrogów na zadane im [DAMAGE] w przeliczeniu 1:5.","Ayrıca düşmanların eksik [FOCUS]'unu 1:5 oranında verilen [DAMAGE]'e çevirir.",
Lelek_02,"Pozbawia cię negatywnych stanów i przenosi je na wroga.","Üzerindeki negatif durumları kaldırır ve düşmana aktarır.",
Lelek_03,"Przerywa zaplanowane działanie wroga, jeśli ten jest pod wpływem stanu <Tag_Neg>Cierpienie</>.","Düşman <Tag_Neg>Acı</> durumu altındaysa planlanmış eylemini keser.",
Lelek_H,"Zmniejsza [FOCUS] wszystkich wrogów o 1.","Tüm düşmanların [FOCUS]'unu 1 azaltır.",
Morana_02,"Zadaje 8x większe [DAMAGE] niż liczy brakujące [FOCUS] wroga. Przywraca całe [FOCUS] wroga.","Düşmanın eksik [FOCUS] miktarının 8 katı [DAMAGE] verir. Düşmanın [FOCUS]'unu tamamen yeniler.",
Morana_03,"Przerywa zaplanowane działanie wroga.","Düşmanın planlanmış eylemini keser.",
Morana_H,"Spowalnia zaplanowane działania wszystkich wrogów.","Tüm düşmanların planlanmış eylemlerini yavaşlatır.",
Upyr_01,"Przywraca ci [HP] równe [GameplayEffect.Instant.Heal.Hp.Upyr], czyli połowę utraconych.","[GameplayEffect.Instant.Heal.Hp.Upyr] kadar, yani kaybedilenin yarısı kadar [HP]'ni yeniler.",
Upyr_02,"[HP] celu decydują, jak duże [DAMAGE] zadaje ta umiejętność. Im więcej ich jest, tym zadawane [DAMAGE] będą większe.","Hedefin [HP]'si bu yeteneğin verdiği [DAMAGE] miktarını belirler. Ne kadar çoksa, [DAMAGE] o kadar büyük olur.","PL 1×[HP] 2×[DAMAGE] ile simetrik"
Upyr_03,"Uwalnia cię od negatywnych stanów.","Seni negatif durumlardan kurtarır.",
Upyr_H,"Przywraca ci [HP] równe [GameplayEffect.Instant.Heal.Hp.Upyr], czyli połowie utraconych.","[GameplayEffect.Instant.Heal.Hp.Upyr] kadar, yani kaybedilenin yarısı kadar [HP]'ni yeniler.",
Weles_01,"Daje 50% szans, że zadane [DAMAGE] będą potrojone.","Verilen [DAMAGE]'in üçe katlanması için %50 şans verir.",
Weles_02,"Przywraca ci [HP] równe [GameplayEffect.Instant.Heal.Hp.Weles]. Daje 50% szans na potrojenie tej liczby.","[GameplayEffect.Instant.Heal.Hp.Weles] kadar [HP]'ni yeniler. Bu miktarın üçe katlanması için %50 şans verir.",
Weles_03,"Daje 50% szans na przerwanie zaplanowanego działania wroga.","Düşmanın planlanmış eylemini kesmek için %50 şans verir.",
Weles_H,"Wyprowadza atak na losowego wroga.","Rastgele bir düşmana saldırır.",
Salutor_Sacrifice,"Na dobre zrywa więź z salutorem, uwalniając cię od jego <tag>Jarzma</>. Przywraca ci pełne [FOCUS] i odnawia [HP].","Salutorla bağı tamamen koparır ve seni onun <tag>Boyunduruğu</>ndan kurtarır. [FOCUS]'unu tamamen yeniler ve [HP]'ni tazeler.",Glossary: Jarzmo = Boyunduruk
Engage,"Przemieszcza się w stronę celu.","Hedefe doğru hareket eder.",
Skip,"Zablokowane działanie.","Engellenen eylem.",Turu atlama açıklaması
Buff_All_Ally_Dmg,"Wywołuje u wszystkich sojuszników na 3 rundy stan [Status.Buff.Dmg_50_3R]","Tüm müttefiklere 3 tur süreyle şu durumu uygular: [Status.Buff.Dmg_50_3R]",
Buff_All_Ally_Speed,"Wywołuje u sojuszników na 5 rund stan [Status.Buff.Speed_1_5R].","Müttefiklere 5 tur süreyle şu durumu uygular: [Status.Buff.Speed_1_5R].",
Heal_One_Ally_Hp_10,"Przywraca [GameplayEffect.Instant.Heal.Hp.Enemy_10][HP] jednemu z sojuszników.","Müttefiklerden birine [GameplayEffect.Instant.Heal.Hp.Enemy_10][HP] kazandırır.",
Heal_All_Ally_Focus_2,"Zmniejsza [FOCUS] sojuszników o 2.","Müttefiklerin [FOCUS]'unu 2 azaltır.",Kaynak tuhaf: key Heal ama eylem azaltma; kaynağa sadık kalındı
Heal_One_Ally_Focus_2,"Przywraca [GameplayEffect.Instant.Heal.Focus.Enemy_2][FOCUS] sojusznikowi.","Bir müttefiğe [GameplayEffect.Instant.Heal.Focus.Enemy_2][FOCUS] kazandırır.",
Lelek_Ritual_02,"Pozbawia sojuszników negatywnych stanów i przenosi je na wroga.","Müttefiklerdeki negatif durumları kaldırır ve düşmana aktarır.",
Morana_Ritual_01,"Przyśpiesza następne działanie celu o 1 rundę.","Hedefin bir sonraki eylemini 1 tur hızlandırır.",
Weles_Ritual_H,"Wyprowadza atak na losowego uczestnika walki.","Savaşa katılan rastgele birine saldırır.",
Adrenaline,"Tempo umiejętności wzrasta o 1 gdy [HP] atakującego spadną poniżej połowy.","Saldırganın [HP]'si yarının altına düşünce yeteneğin Hızı 1 artar.",
CoopHP,"Zwiększa zadawane [DAMAGE] o 5 jeżeli wróg jest pod wpływem stanu <Tag_Neg>Oznaczenie wroga</>.","Düşman <Tag_Neg>Düşmanı İşaretleme</> durumu altındaysa verilen [DAMAGE] 5 artar.",
CoopFocus,"Dodatkowo zmniejsza [FOCUS] o 2 jeżeli wróg jest pod wpływem stanu <Tag_Neg>Oznaczenie wroga</>.","Düşman <Tag_Neg>Düşmanı İşaretleme</> durumu altındaysa [FOCUS]'u 2 daha azaltır.",
