Key,PL,TR,Notes
Interaction_ReduceStress_Chocolate,Napij się czekolady,Sıcak Çikolata İç,
Interaction_ReduceStress_Fiddle,Posłuchaj skrzypiec,Kemanı Dinle,
Interaction_ReduceStress_Fruit,Kup egzotycznych owoców,Egzotik Meyve Al,
Interaction_ReduceStress_Spyglass,Spojrzyj przez lornetkę,Dürbünle Bak,
Interaction_ReduceStress_Candy,Kup landrynki,Şekerleme Al,"Landrynki = sert şekerler"
Interaction_ReduceStress_Bread,Kup pieczywo,Ekmek Al,
Interaction_ReduceStress_Balalaika,Posłuchaj bałałajki,Balalaykayı Dinle,
Interaction_ReduceStress_Challah,Kup chałkę,Halla Al,"Challah/Hallah = Yahudi örme ekmeği"
Interaction_ReduceStress_Tincture,Napij się nalewki,Likör İç,"Nalewka = meyve likörü"
Interaction_ReduceStress_Poetry,Czytaj poezję,Şiir Oku,
Interaction_ReduceStress_Orangeade,Napij się oranżady,Oranjad İç,"Oranżada = dönem portakal içeceği"
Interaction_ReduceStress_Cigar,Kup cygaro,Puro Al,
Interaction_ReduceStress_Dumplings,Kup pierogi,Pierogi Al,"Pierogi = Polonya mantısı; orijinal ad korundu"
Interaction_ReduceStress_Accordion,Posłuchaj akordeonu,Akordeonu Dinle,
Interaction_ReduceStress_Bed,Prześpij się,Biraz Uyu,
TimeOfDay_Noon,Południe,Öğle,
TimeOfDay_LateAfternoon,Późne popołudnie,İkindi,"Dönem tınısı; 'geç öğleden sonra' yerine"
TimeOfDay_Night,Noc,Gece,
TimeOfDay_EarlyMorning,Wczesny poranek,Şafak,
Interaction_Donuts,Odłóż pączki,Çörekleri Bırak,
Thauma_Vision,Percepcja,Algı,
Interaction_GoBack,Wróć,Geri Dön,
Interaction_Travel,Jedź,Yola Çık,
Interaction_Select,Wybierz,Seç,
UnitData_Man,Mężczyzna,Erkek,
UnitData_Woman,Kobieta,Kadın,
UnitData_Child,Dziecko,Çocuk,
Perception_Insufficient_DimensionValue,Za mała siła Wymiaru {dim} ({value}),{dim} Boyutunun gücü yetersiz ({value}),"Placeholder'lar korundu"
Perception_Conclusion_DescriptionBlocked,"Musisz zebrać wszystkie Spostrzeżenia i odkryć sekrety ukryte w przedmiotach, aby móc wyciągnąć Wniosek","Çıkarım yapabilmek için tüm Gözlemleri toplamalı ve eşyalarda gizli sırları keşfetmelisin",
Interaction_Remove,Zdejmij,Çıkar,
Interaction_Call,Zadzwoń,Ara,"Telefon çağrısı bağlamı (AnswerPhone ile çift)"
Perception_Possible,Wystarczająca siła Wymiaru {dim},{dim} Boyutunun gücü yeterli,
Interaction_ManipulationLocked,Zablokowane,Kilitli,
Interaction_PerceptionPending,Słaba percepcja,Zayıf Algı,
Interaction_PerceptionAwaiting,Zbadaj,İncele,
Dialogue_ResponseLockedReason,Coś ci jeszcze umyka. Szukaj dalej.,Bir şey hâlâ gözünden kaçıyor. Aramaya devam et.,
Dialogue_ResponseLocked,Jeszcze nie możesz tego powiedzieć. Szukaj dalej.,Bunu henüz söyleyemezsin. Aramaya devam et.,
Dialogue_ResponseUnlockedReason,"Masz już wiedzę lub znasz kontekst, aby odpowiedzieć.",Cevap vermek için yeterli bilgin ya da bağlamın var.,
Dialogue_ResponseManipulationLocked,Brak ci siły Wymiaru lub salutora.,Yeterli Boyut gücün ya da salutorun yok.,
Interaction_Manipulate,Manipuluj,Manipüle Et,
QuestTracker_ChangeTracking,Zmień śledzony wpis,Takip Edileni Değiştir,
QuestTracker_Additional,Dodatkowo:,Ayrıca:,
Interaction_ReduceStress_Absinthe,Zamów absynt,Absent Al,
Interaction_ReduceStress_Fishing,Łów ryby,Balık Tut,
Interaction_knock,Zapukaj,Kapıyı Çal,
Dialogue_Response_PrideNotEnough,"Tego nie powiesz, przez zbyt małą Dumę.","Kibirin yetersiz olduğundan bunu söyleyemezsin.",
Dialogue_Response_PrideTooMuch,"Tego nie powiesz, przez zbyt wybujałą Dumę.","Kibirin taştığından bunu söyleyemezsin.",
Dialogue_Response_PrideUsed,"Tym samym, karmisz Skazę Dumy.",Böylelikle Kibir Kusurunu beslersin.,
Dialogue_Response_PrideExplanation,"<tag>Dumna</> odpowiedź. Nie tylko czerpie z poziomu twojej Skazy Dumy, ale również nakarmi ją jeszcze bardziej.","<tag>Kibirli</> yanıt. Yalnızca Kibir Kusurunun seviyesinden beslenmekle kalmaz, onu daha da güçlendirir.",
Interaction_KeysBack,Odłóż klucze,Anahtarları Bırak,
Interaction_Eavesdrop,Podsłuchaj,Kulak Ver,
Dialogue_ResponseLockedForGood,"W konsekwencji decyzji, ta droga jest zamknięta.",Verdiğin karar sonucunda bu yol kapandı.,
Dialogue_Response_PrideTookControl,Twoja Duma wzięła górę i wybrała za ciebie.,Kibrin üstün geldi ve senin yerine seçti.,
Interaction_Pet,Pogłaszcz,Okşa,
Interaction_Listen,Posłuchaj,Dinle,
InputAction_QuickSave,Szybki zapis,Hızlı Kayıt,
InputAction_ZoomIn,Przybliż kamerę,Kamerayı Yakınlaştır,
InputAction_ZoomOut,Oddal kamerę,Kamerayı Uzaklaştır,
InputAction_Interaction,Interakcja,Etkileşim,
InputAction_Click,Idź do miejsca,Konuma Git,
InputAction_Perception,Użyj Percepcji,Algıyı Kullan,
InputAction_SelectPreviousObjective,Śledź poprzedni wpis,Önceki Kaydı Takip Et,
InputAction_SelectNextObjective,Śledź następny wpis,Sonraki Kaydı Takip Et,
InputAction_OpenLogEntry,Otwórz ostatni wpis,Son Kaydı Aç,
InputAction_MoveForward,Idź w górę,Yukarı,"Panel_InputUp ile tutarlı"
InputAction_MoveBackward,Idź w dół,Aşağı,
InputAction_QuickLoad,Wczytaj ostatni zapis,Son Kaydı Yükle,
InputAction_Movement,Poruszanie się,Hareket,
InputAction_MoveRight,Idź w prawo,Sağa,
InputAction_MoveLeft,Idź w lewo,Sola,
Interaction_AdmireView,Podziwiaj widoki,Manzarayı Seyret,
Dialogue_Event_ThoughtsTrailSeen,"Dostrzegasz subtelną nić myśli rozmówcy. Warto sprawdzić, dokąd prowadzi.","Muhatabının düşüncelerinde ince bir iz seziyorsun. Nereye vardığını görmek iyi olur.",
Dialogue_Consequence,{name} to zapamięta.,{name} bunu hatırlayacak.,
Dialogue_SelectChoice01,Wybierz opcję 1,Seçenek 1,
Dialogue_SelectChoice02,Wybierz opcję 2,Seçenek 2,
Dialogue_SelectChoice03,Wybierz opcję 3,Seçenek 3,
Dialogue_SelectChoice04,Wybierz opcję 4,Seçenek 4,
Dialogue_SelectChoice05,Wybierz opcję 5,Seçenek 5,
