Key,PL,TR,Notes
SMC_ArtBar,Elizjum,Elizyum,"Elizjum = Elysium'un PL formu; TR yerleşik yazım Elizyum"
SMC_Bar,"Bar ""Meta, Seta i Lorneta""","""Meta, Seta ve Dürbün"" Barı","PL'de kadeh/yudum/dürbün alaylı içki tekerlemesi"
SMC_BarDistrict,Dzielnica Barowa,Bar Semti,
SMC_Basement,Suterena,Bodrum Katı,
SMC_BossOffice,Biuro Herr Neumayera,Bay Neumayer'in Bürosu,
SMC_Editorial,"Redakcja ""Kurjera Warszawskiego""","""Varşova Kuryesi"" Redaksiyonu",Tarihî Varşova gazetesi
SMC_Exterior,Śródmieście Południowe,Güney Śródmieście,Varşova semt adı yön sıfatı çevrildi
SMC_Foyer,Foyer,Foyer,Dönem Fransızca sözcüğü - aynen
SMC_HotelApartment,Apartament Hotelowy,Otel Süiti,
SMC_ImperialHotel,Hotel Imperialny,Hotel Imperialny,"Özel isim korunur (diyalog/Codex/Readable ile tutarlılık)"
SMC_ImperialHotel_Apartment,Apartament 213,213 No'lu Süit,
SMC_ImperialHotel_Apartment237,Apartament 237,237 No'lu Süit,
SMC_ImperialHotel_Balcony,Balkon,Balkon,
SMC_ImperialHotel_Corridor,Korytarz,Koridor,
SMC_InformerHouse,Nowogrodzka 22,Nowogrodzka 22,Sokak adı
SMC_LondonBar,Bar Londyński,Londra Barı,
SMC_LondonBar_Facilities,Zaplecze baru,Bar Arkası,
SMC_Police_Station,Komisariat,Karakol,
SMC_Police_Station_Archive,Archiwum,Arşiv,
SMC_Police_Station_Interior,Główny hol,Ana Hol,
SMC_Police_Station_WoroninOffice,Gabinet Woronina,Woronin'in Çalışma Odası,
SMC_PoorHouse,Mieszkanie Krajewskich,Krajewskilerin Dairesi,
SMC_RaillwayStation_Hall,Hala Dworca,Gar Salonu,
SMC_RaillwayStation_Platform,Peron Dworca,Gar Peronu,
SMC_Restaurant,Restauracja,Restoran,
SMC_Restaurant_Backdoor,Boczna uliczka,Yan Sokak,
SMC_SecretMeetingSpot,Mieszkanie,Daire,
SMC_SwietlanaApartment,Apartament Swietłany,Swietłana'nın Dairesi,
SMC_Train_Station_Interior,Dworzec Wiedeński,Viyana Garı,Varşova'nın tarihî Varşova-Viyana garı
SMG_Exterior,Śródmieście Północne,Kuzey Śródmieście,
SMG_Green_Square,Plac Zielony,Yeşil Meydan,
SMG_Neglected_Apartment,Plebańska 1,Plebańska 1,
SMG_Patisserie,Cukiernia,Pastane,
SMG_Tailor,Pracownia Krawiecka,Terzi Atölyesi,
SMG_WiktorHouse,Kamienica Szulskich,Szulskilerin Apartmanı,
SMG_WiktorHouse_0floor,Parter,Zemin Kat,
SMG_WiktorHouse_1floor,Pierwsze piętro,Birinci Kat,
SMG_WiktorHouse_Basement,Piwnica,Bodrum,
SMG_WiktorHouse_Garden,Ogród,Bahçe,
SMG_WiktorHouse_Interior,Wnętrze domu,Evin İçi,
SMG_WiktorRoom,Pokój Wiktora,Wiktor'un Odası,
WCM_Cemetery,Wiejski Cmentarz,Köy Mezarlığı,
WL_Brothel,Dom Szlimakowskiej,Szlimakowska'nın Evi,
WL_Brothel_Interior,Salon,Salon,
WL_Brothel_Rooms,Sypialnie,Yatak Odaları,
WL_Exterior,Wola,Wola,Varşova semti
BZR_Berk_Rotblitz,U Berka Rotblitza,Berk Rotblitz'in Yeri,"PL ""U X"" = ""X'in yanında/yerinde"""
BZR_Berk_Rotblitz_Basement,Piwnica,Bodrum,
BZR_BZR01_Hideout,Magazyn,Depo,
DEBUG_BZR01,LW_BZR01,LW_BZR01,Debug
GRZ_Gamblers_Den,Szulernia,Kumarhane,
DEBUG_SMG04,LW_SMG04,LW_SMG04,Debug
GRZ_pharmacy,Stara apteka,Eski Eczane,
GRZ_host_flat,Mieszkanie Złodziejki,Hırsız Kadının Dairesi,Złodziejka = dişil hırsız
GRZ_brothel,"Dom publiczny ""Harem""","""Harem"" Genelevi",
PW_bar,"Bar ""Księżycówka""","""Ay Suyu"" Barı","Księżycówka = Ay içkisi/kaçak içki lakabı"
PW_Cold_Storage,Lodownia,Buzhane,
PW_pawnshop,Lombard,Rehinci,
PW_killers_hideout,Kryjówka mordercy,Katilin Sığınağı,
pp_warehouse,Magazyn,Depo,
ds_upstairs_corridor,Korytarz,Koridor,
pw_illegal_ring,Loch,Zindan,
ds_room,Pokój,Oda,
CM_AnielaApartment,Mieszkanie Nadarzyńskich,Nadarzyńskilerin Dairesi,
SMC_patriot_house,Mieszkanie Wiśniewskich,Wiśniewskilerin Dairesi,
DEBUG_SMG03,LW_SMG03,LW_SMG03,Debug
