Key,PL,TR,Notes
Suggestion_BlockedFocus_Djin,"Potrafi wykończyć wroga odpornego na pozbawianie skupienia, spowalnianie i przerywanie działań.","Odak kaybetmeye, yavaşlatmaya ve eylem kesilmelerine dirençli düşmanı bitirebilir.",
Suggestion_BlockedFocus_Upyr,"Potrafi wykończyć wroga odpornego na pozbawianie skupienia, spowalnianie i przerywanie działań.","Odak kaybetmeye, yavaşlatmaya ve eylem kesilmelerine dirençli düşmanı bitirebilir.",
Suggestion_BlockedFocus_Weles,"Potrafi wykończyć wroga odpornego na pozbawianie skupienia, spowalnianie i przerywanie działań.","Odak kaybetmeye, yavaşlatmaya ve eylem kesilmelerine dirençli düşmanı bitirebilir.",
Suggestion_IgnoreTempStatus_Golem,"Potrafi zadać ogromne obrażenia, co szybko wykończy każdego wroga, nawet odpornego na stany.","Büyük hasar verebilir; bu her düşmanı hızla bitirir — durumlara dirençli olsa bile.",
Suggestion_IgnoreTempStatus_Lelek,"Potrafi szybko pozbawić wroga skupienia, wywołując stan Rozbicie. Pozbawia też odporności na stany.",Düşmanı hızla Odağından yoksun bırakıp Parçalanma durumu uygular. Durum direncini de kırar.,
Suggestion_IgnoreTempStatus_Weles,Potrafi wykończyć wroga odpornego na stany.,Durumlara dirençli düşmanı bitirebilir.,
Suggestion_IgnoreTempStatus_Upyr,Potrafi wykończyć wroga odpornego na stany.,Durumlara dirençli düşmanı bitirebilir.,
Suggestion_ReasonLowHP_Upyr,"Potrafi odzyskiwać twoje punkty życia, co może skutecznie uchronić przed porażką.","Can Puanlarını geri kazandırabilir; bu yenilgiden korumak için etkilidir.",
Suggestion_LowFocus_Krampus,"Potrafi odzyskiwać skupienie, co może skutecznie uchronić od stanu Rozbicie.","Odak geri kazandırabilir; bu Parçalanma durumundan korumak için etkilidir.",
Suggestion_DangerousAttack_Morana,"Potrafi przerwać lub spowolnić tempo działań wroga, co może skutecznie uchronić przed porażką.","Düşmanın eylem Hızını kesebilir ya da yavaşlatabilir; bu yenilgiden korumak için etkilidir.",
Suggestion_ReasonEnemyHPVulnerable,Ataki oparte na obrażeniach przyniosą lepszy efekt przeciwko temu wrogowi,Hasara dayalı saldırılar bu düşmana karşı daha iyi sonuç verir,
Suggestion_EnemyFocusVulnerable,Pozbawienie skupienia przyniesie lepszy efekt przeciwko temu wrogowi,Odak kaybettirmek bu düşmana karşı daha iyi sonuç verir,
ProgressionStep_PerceptionTests,"To Ulepszenie umożliwia korzystanie z Percepcji w Wymiarze ","Bu Yükseltme şu Boyutta Algı kullanmayı sağlar: ",Trailing space
ProgressionStep_Manipulation,"To Ulepszenie Pozwala Dokonywać Manipulacji Wymiarem ","Bu Yükseltme şu Boyutta Manipülasyon yapmayı sağlar: ",Trailing space
ProgressionStep_DimensionPoints,"To Ulepszenie dodaje punkt do Wymiaru ","Bu Yükseltme şu Boyuta puan ekler: ",Trailing space
UpgradeType_Perception,Percepcja,Algı,
UpgradeType_Manipulation,Manipulacja,Manipülasyon,
UpgradeType_DimensionPoint,Siła Wymiaru,Boyut Gücü,
StatusDescription_Thaumaturge,(u ciebie),(sende),
StatusDescription_Self,(u siebie),(kendinde),
StatusDescription_Max," Maks. "," Maks. ",Leading+trailing space
StatusDescription_X,x.,x.,
EffectSumUp," Efekt sumuje się "," Etki birikir ",Leading+trailing space
Cost,Koszt,Maliyet,
Flaw_DimensionPoints,Wzmocniona przez zdobyte Skazy.,Kazanılan Kusurlarla güçlendirilmiş.,
NeedRasputinActivation,Opanowanie wymaga pomocy Rasputina.,Ehlileştirmek Rasputin'in yardımını gerektirir.,
ActivatedByRasputin,Salutor poskromiony dzięki pomocy Rasputina.,Salutor Rasputin'in yardımıyla ehlileştirildi.,
NeedRasputinActivationProgression,Dalszy rozwój Wymiaru jest niemożliwy aż do czasu poskromienia salutora u Rasputina.,Salutor Rasputin'de ehlileştirilene dek Boyut gelişimi mümkün değil.,
NoEffect,Nie wywiera efektu na celu.,Hedef üzerinde etki yok.,
AbilityWeak,Osłabiona przez wpływ stanów celu.,Hedefin durumlarının etkisiyle zayıflatılmış.,
Salutor,Salutor,Salutor,
HealingDrawback,"Każde kolejne działanie przywracające [HP], będzie odnawiało ich mniej.",[HP] geri kazandıran her bir sonraki eylem öncekinden daha az yeniler.,"PL 1×[HP] ile simetrik; 'ich'→'öncekinden'"
AbilityDescription_Hidden,Efekty tego działania zostały przed tobą zatajone.,Bu eylemin etkileri senden gizlendi.,
AbilityName_Hidden,Zatajone działanie,Gizlenmiş eylem,
AbilityDescription_ApplyPlayerDMG,Zadaje ci [DAMAGE],Sana [DAMAGE] verir,
SalutorLostForever,"Wskutek zerwania więzi, tego salutora już przy tobie nie ma.",Bağın koparılması sonucu bu salutor artık yanında değil.,
AbilityDescription_ApplyPlayerDMGandSTR,Zadaje ci [DAMAGE] i obniża twoje [FOCUS],Sana [DAMAGE] verir ve [FOCUS]'unu azaltır,
AbilityDescription_ApplySTRAnyone,Zadaje [DAMAGE] i obniża [FOCUS],[DAMAGE] verir ve [FOCUS] azaltır,
DimensionCurrentPower,"Wynosi ","Değeri: ",Trailing space
DimensionCurrentPowerFlaws,Wzmocniona przez Skazy:,Kusurlarla güçlendirilmiş:,
InputAction_CancelAction,Anuluj akcję,Eylemi iptal et,
InputAction_ShowEnemyStatus,Pokaż stan wroga,Düşmanın durumunu göster,
InputAction_Confirm,Zatwierdź,Onayla,
InputAction_Timeline,Podejrzyj kolejkę działań,Eylem Sırasına bak,
InputAction_ChangeActiveUnit,Przełącz między sobą a salutorem,Kendin ve salutorun arasında geçiş yap,
InputAction_PreviousEnemy,Poprzedni przeciwnik,Önceki düşman,
InputAction_NextEnemy,Następny przeciwnik,Sonraki düşman,
InputAction_ShowWiktorsStatus,Pokaż swój stan,Kendi durumunu göster,
InputAction_SalutorSelection,Wybierz salutora,Salutor seç,
InputAction_AbillitySelection,Wybierz umiejętność,Yetenek seç,
InputAction_CombatBegin,Stań do walki,Savaşa gir,
Permanently,Na stałe,Kalıcı olarak,
ActivatedByRasputin_Upyr,"Wasza więź znów jest silna, dzięki pomocy Rasputina.",Rasputin'in yardımıyla bağınız yeniden güçlü.,
NeedRasputinActivation_Upyr,Twoja więź z nim jest osłabiona i grozi zerwaniem.,Onunla bağın zayıfladı ve kopma tehlikesi altında.,
Attributes,Atrybut,Özellik,
Attributes_HP,"To Ulepszenie na stałe zwiększa [HP] o ","Bu Yükseltme [HP]'ni kalıcı olarak şu kadar artırır: ",Trailing space
Attributes_Foc,"To Ulepszenie na stałe zwiększa [Focus] o ","Bu Yükseltme [Focus]'unu kalıcı olarak şu kadar artırır: ",Trailing space
InputAction_OpenThaumaturgy,Rozwiń thaumaturgię,Tılsımkârlığı aç,
InputAction_OpenUpgrades,Dostosuj ulepszenia,Yükseltmeleri düzenle,
AbilityDescription_Dot,.,.,
ShowLog,Pokaż przebieg walki,Savaş akışını göster,
