"Key","Value"
"AbilityDescription_ApplyDMGAndSTR","Zadaje wrogom [DAMAGE] i obniża ich [FOCUS]"
"AbilityDescription_ApplySTR","Obniża [FOCUS]"
"AbilityDescription_ApplyStatuses_1","Wywołuje: "
"AbilityDescription_ApplyStatuses_2"," oraz wywołuje:"
"AbilityDescription_DMGIncrease_2","Zwiększa zadawane [DAMAGE] o "
"UpgradeType_CombatAbility","Umiejętności walki"
"Focus","Skupienie"
"SlowAttack","wolna"
"VerySlowAttack","bardzo wolna"
"Suggested","Sugerowany"
"Rounds","rundy"
"InteractionChoose_Ability","Wybierz umiejętność"
"InteractionChoose_Target","Wybierz cel"
"NotActive_Temporary","Uśpiona czasowo."
"NotActive_Permanently","Uśpiona na dobre."
"VulnerableState","Użyj Silnego ataku tego salutora na wroga pod wpływem stanu Rozbicie. To najlepszy wybór."
"Salutor_Dimension1","Salutor z Wymiaru "
"Salutor_Dimension2",", który potrafi uśpić Cechę wskazanego wroga."
"SalutorDescription_Bukavac","Jego zdolności są ofensywne i oparte o stany. Idealny do dobijania ciężko rannych wrogów."
"SalutorDescription_Djin","Kuglarz stanów, lecz część jego mocy może cię zranić."
"SalutorDescription_Upyr","Potrafi leczyć, a siła jego umiejętności ofensywnych zależy od ilości twoich punktów życia."
"SalutorDescription_Morana","Przerywa i spowalnia tempo działań wroga. Wymienia Twoje brakujące skupienie na obrażenia."
"SalutorDescription_Lelek","Skutecznie pozbawia wrogów skupienia, potrafi przenieść Twoje stany na nich."
"SalutorDescription_Golem","Zadaje potężne obrażenia, część zdolności wymaga jednak konkretnych warunków od wroga."
"SalutorDescription_Weles","Potężny salutor, którego skuteczność zależy od... szczęścia."
"SalutorDescription_Krampus","Posiada zdolności ofensywne, defensywne, a także lecznicze, związane ze skupieniem."
"ThisRound","ta runda"
"UseBukavac","Bukavacem"
"UseGolem","Golemem"
"RequiredDimensionStrength","Wymagana siła Wymiaru "
"ToDeactivate","by uśpić"
"NotHaveRequiredSalutor","Nie posiadasz odpowiedniego salutora, aby uśpić."
"UseUpyr","Upyrem"
"UseDjinn","Djinnem"
"UseLelek","Lelkiem"
"UseMorana","Moraną"
"UseWeles","Welesem"
"UseKrampus","Krampusem"
"Or","lub"
"UpgradeType_SkillUpgrade","Ulepszenie umiejętności"
"UpgradeType_AdditionalSkill","Dodatkowa umiejętność"
"UpgradeType_NoPoints","× Brak punktów"
"UpgradeType.CombatSkillEnhancement","Ulepszenie umiejętności walki"
"NotActive_Permanently2","Cecha"
"AbilityDisablesTargetTrait","Ta umiejętność usypia Cechę wroga."
"Trait_Deactivate","Cecha uśpiona"
"ReinforcementsArrive_NextRound","Posiłki przybędą w następnej rundzie."
"Progression_Points","Punkty Thaumaturgii"
"Stun_ActionCancel","Jesteś Ogłuszony
Działanie zostało przerwane"
"NoActive","Nieaktywny"
"Sugestion_ResistDmg_Bukavac","Zadanie obrażeń przez stan ignoruje odporność wroga na bezpośrednie obrażenia."
"Sugestion_ResistDmg_Lelek","Pozbawienie wroga skupienia i wywołanie stanu Rozbicie ignoruje jego odporność na bezpośrednie obrażenia."
"Sugestion_ResistDmg_Djin","Zadanie obrażeń przez stan ignoruje odporność wroga na bezpośrednie obrażenia."
"Sugestion_ResistDmg_Morana","Pozbawienie wroga skupienia i zamiana brakującego skupienia na obrażenia ignoruje jego odporność na bezpośrednie obrażenia."
"Suggestion_RestoreHP_Golem","Potrafi zadać ogromne obrażenia, co pozwala wykończyć każdego wroga, nie dając mu szans na leczenie."
"Suggestion_RestoreHP_Lelek","Potrafi swoim Silnym Atakiem szybko wykończyć Rozbitego wroga, nie dając mu szansy na leczenie."
"Suggestion_RestoreHP_Bukavac","Porafi wywołać stany zadające obrażenia, skuteczne przeciwko często leczącym się wrogom."
"Suggestion_RestoreHP_Weles","Potrafi zadawać ogromne obrażenia, jeśli tylko szczęście się do ciebie uśmiechnie."
"Suggestion_BlockedFocus_Golem","Potrafi wykończyć wroga odpornego na pozbawianie skupienia, spowalnianie i przerywanie działań."
"Suggestion_BlockedFocus_Djin","Potrafi wykończyć wroga odpornego na pozbawianie skupienia, spowalnianie i przerywanie działań."
"Suggestion_BlockedFocus_Upyr","Potrafi wykończyć wroga odpornego na pozbawianie skupienia, spowalnianie i przerywanie działań."
"Suggestion_BlockedFocus_Weles","Potrafi wykończyć wroga odpornego na pozbawianie skupienia, spowalnianie i przerywanie działań."
"Suggestion_IgnoreTempStatus_Golem","Potrafi zadać ogromne obrażenia, co szybko wykończy każdego wroga, nawet odpornego na stany."
"Suggestion_IgnoreTempStatus_Lelek","Potrafi szybko pozbawić wroga skupienia, wywołując stan Rozbicie. Pozbawia też odporności na stany."
"Suggestion_IgnoreTempStatus_Weles","Potrafi wykończyć wroga odpornego na stany."
"Suggestion_IgnoreTempStatus_Upyr","Potrafi wykończyć wroga odpornego na stany."
"Suggestion_ReasonLowHP_Upyr","Potrafi odzyskiwać twoje punkty życia, co może skutecznie uchronić przed porażką."
"Suggestion_LowFocus_Krampus","Potrafi odzyskiwać skupienie, co może skutecznie uchronić od stanu Rozbicie."
"Suggestion_DangerousAttack_Morana","Potrafi przerwać lub spowolnić tempo działań wroga, co może skutecznie uchronić przed porażką."
"Suggestion_ReasonEnemyHPVulnerable","Ataki oparte na obrażeniach przyniosą lepszy efekt przeciwko temu wrogowi"
"Suggestion_EnemyFocusVulnerable","Pozbawienie skupienia przyniesie lepszy efekt przeciwko temu wrogowi"
"ProgressionStep_PerceptionTests","To Ulepszenie umożliwia korzystanie z Percepcji w Wymiarze "
"ProgressionStep_Manipulation","To Ulepszenie Pozwala Dokonywać Manipulacji Wymiarem "
"ProgressionStep_DimensionPoints","To Ulepszenie dodaje punkt do Wymiaru "
"UpgradeType_Perception","Percepcja"
"UpgradeType_Manipulation","Manipulacja"
"UpgradeType_DimensionPoint","Siła Wymiaru"
"StatusDescription_Thaumaturge","(u ciebie)"
"StatusDescription_Self","(u siebie)"
"StatusDescription_Max"," Maks. "
"StatusDescription_X","x."
"EffectSumUp"," Efekt sumuje się "
"Cost","Koszt"
"Flaw_DimensionPoints","Wzmocniona przez zdobyte Skazy."
"NeedRasputinActivation","Opanowanie wymaga pomocy Rasputina."
"ActivatedByRasputin","Salutor poskromiony dzięki pomocy Rasputina."
"NeedRasputinActivationProgression","Dalszy rozwój Wymiaru jest niemożliwy aż do czasu poskromienia salutora u Rasputina."
"NoEffect","Nie wywiera efektu na celu."
"AbilityWeak","Osłabiona przez wpływ stanów celu."
"Salutor","Salutor"
"HealingDrawback","Każde kolejne działanie przywracające [HP], będzie odnawiało ich mniej."
"AbilityDescription_Hidden","Efekty tego działania zostały przed tobą zatajone."
"AbilityName_Hidden","Zatajone działanie"
"AbilityDescription_ApplyPlayerDMG","Zadaje ci [DAMAGE]"
"SalutorLostForever","Wskutek zerwania więzi, tego salutora już przy tobie nie ma."
"AbilityDescription_ApplyPlayerDMGandSTR","Zadaje ci [DAMAGE] i obniża twoje [FOCUS]"
"AbilityDescription_ApplySTRAnyone","Zadaje [DAMAGE] i obniża [FOCUS]"
"DimensionCurrentPower","Wynosi "
"DimensionCurrentPowerFlaws","Wzmocniona przez Skazy:"
"InputAction_CancelAction","Anuluj akcję"
"InputAction_ShowEnemyStatus","Pokaż stan wroga"
"InputAction_Confirm","Zatwierdź"
"InputAction_Timeline","Podejrzyj kolejkę działań"
"InputAction_ChangeActiveUnit","Przełącz między sobą a salutorem"
"InputAction_PreviousEnemy","Poprzedni przeciwnik"
"InputAction_NextEnemy","Następny przeciwnik"
"InputAction_ShowWiktorsStatus","Pokaż swój stan"
"InputAction_SalutorSelection","Wybierz salutora"
"InputAction_AbillitySelection","Wybierz umiejętność"
"InputAction_CombatBegin","Stań do walki"
"Permanently","Na stałe"
"ActivatedByRasputin_Upyr","Wasza więź znów jest silna, dzięki pomocy Rasputina."
"NeedRasputinActivation_Upyr","Twoja więź z nim jest osłabiona i grozi zerwaniem."
"Attributes","Atrybut"
"Attributes_HP","To Ulepszenie na stałe zwiększa [HP] o "
"Attributes_Foc","To Ulepszenie na stałe zwiększa [Focus] o "
"InputAction_OpenThaumaturgy","Rozwiń thaumaturgię"
"InputAction_OpenUpgrades","Dostosuj ulepszenia"
"AbilityDescription_Dot","."
"ShowLog","Pokaż przebieg walki"
