"Key","Value"
"PW_Brothel_Corridor","Piętro"
"PW_Brothel_Room","Pokój"
"PW_Coast","Nabrzeże"
"PW_Exterior","Powiśle"
"PW_HideoutA","Kryjówka"
"PW_HideoutB","Loże"
"PW_Lunapar","Lupanar"
"PW_Raffinerie","Rafineria cukru"
"PW_Raffinerie_Hall","Główna hala"
"PW_Raffinerie_Office","Gabinet dyrektora"
"PW_RefugeCamp","Przytulisko"
"PW_Shack","Rudera malarza"
"PW_Tent","Główny namiot"
"RST_Ballroom","Sala balowa"
"SG_Burned_House","Spalone Domostwo"
"SK_StationBuilding","Budynek Stacji"
"SK_Train_Station","Stacja Kolejowa"
"SMC_AntiqueShop","Antykwariat"
"SMC_ArtBar","Elizjum"
"SMC_Bar","Bar ""Meta, Seta i Lorneta"""
"SMC_BarDistrict","Dzielnica Barowa"
"SMC_Basement","Suterena"
"SMC_BossOffice","Biuro Herr Neumayera"
"SMC_Editorial","Redakcja ""Kurjera Warszawskiego"""
"SMC_Exterior","Śródmieście Południowe"
"SMC_Foyer","Foyer"
"SMC_HotelApartment","Apartament Hotelowy"
"SMC_ImperialHotel","Hotel Imperialny"
"SMC_ImperialHotel_Apartment","Apartament 213"
"SMC_ImperialHotel_Apartment237","Apartament 237"
"SMC_ImperialHotel_Balcony","Balkon"
"SMC_ImperialHotel_Corridor","Korytarz"
"SMC_InformerHouse","Nowogrodzka 22"
"SMC_LondonBar","Bar Londyński"
"SMC_LondonBar_Facilities","Zaplecze baru"
"SMC_Police_Station","Komisariat"
"SMC_Police_Station_Archive","Archiwum"
"SMC_Police_Station_Interior","Główny hol"
"SMC_Police_Station_WoroninOffice","Gabinet Woronina"
"SMC_PoorHouse","Mieszkanie Krajewskich"
"SMC_RaillwayStation_Hall","Hala Dworca"
"SMC_RaillwayStation_Platform","Peron Dworca"
"SMC_Restaurant","Restauracja"
"SMC_Restaurant_Backdoor","Boczna uliczka"
"SMC_SecretMeetingSpot","Mieszkanie"
"SMC_SwietlanaApartment","Apartament Swietłany"
"SMC_Train_Station_Interior","Dworzec Wiedeński"
"SMG_Exterior","Śródmieście Północne"
"SMG_Green_Square","Plac Zielony"
"SMG_Neglected_Apartment","Plebańska 1"
"SMG_Patisserie","Cukiernia"
"SMG_Tailor","Pracownia Krawiecka"
"SMG_WiktorHouse","Kamienica Szulskich"
"SMG_WiktorHouse_0floor","Parter"
"SMG_WiktorHouse_1floor","Pierwsze piętro"
"SMG_WiktorHouse_Basement","Piwnica"
"SMG_WiktorHouse_Garden","Ogród"
"SMG_WiktorHouse_Interior","Wnętrze domu"
"SMG_WiktorRoom","Pokój Wiktora"
"WCM_Cemetery","Wiejski Cmentarz"
"WL_Brothel","Dom Szlimakowskiej"
"WL_Brothel_Interior","Salon"
"WL_Brothel_Rooms","Sypialnie"
"WL_Exterior","Wola"
"BZR_Berk_Rotblitz","U Berka Rotblitza"
"BZR_Berk_Rotblitz_Basement","Piwnica"
"BZR_BZR01_Hideout","Magazyn"
"DEBUG_BZR01","LW_BZR01"
"GRZ_Gamblers_Den","Szulernia"
"DEBUG_SMG04","LW_SMG04"
"GRZ_pharmacy","Stara apteka"
"GRZ_host_flat","Mieszkanie Złodziejki"
"GRZ_brothel","Dom publiczny ""Harem"""
"PW_bar","Bar ""Księżycówka"""
"PW_Cold_Storage","Lodownia"
"PW_pawnshop","Lombard"
"PW_killers_hideout","Kryjówka mordercy"
"pp_warehouse","Magazyn"
"ds_upstairs_corridor","Korytarz"
"pw_illegal_ring","Loch"
"ds_room","Pokój"
"CM_AnielaApartment","Mieszkanie Nadarzyńskich"
"SMC_patriot_house","Mieszkanie Wiśniewskich"
"DEBUG_SMG03","LW_SMG03"
