"Key","Value"
"ProgressionTree","Na okładce grymuaru widnieją dostępne <tag>Punkty Thaumaturgii</>, które możesz wydawać na drzewku. Kupuj <tag>Ulepszenia Umiejętności</>, doskonal swoje moce w obrębie dowolnego <tag>Wymiaru</> oraz poluj na salutory, co pozwoli ci na dalszy rozwój."
"RitualFight","Aby pokonać dzikiego salutora, musisz pozbyć się Cieni, które go bronią. Pokonanie Cieni osłabi go, ale im będzie słabszy, tym zacieklej będzie się bronił. Na pasku znajdziesz informację, kiedy dziki salutor naśle na ciebie kolejnych wrogów."
"SalutorDistanceAbility","Salutory mogą swobodnie atakować przeciwników, którzy są od ciebie oddaleni."
"SelectSalutor","W dowolnej chwili możesz wezwać innego salutora. Zielona ramka otaczająca portret salutora oznacza, że jest on wyjątkowo skuteczny w walce z danym wrogiem. Przeczytaj znajdujący się nad salutorem opis, aby zrozumieć, dlaczego przyda się właśnie teraz."
"SpecialActionAvailable","Wróg stracił całe [FOCUS] i znajduje się pod wpływem <tag>Stanu Rozbicie</>.<br><br>To świetna okazja, żeby wyprowadzić <tag>Silny atak</>."
"Statuses","<i>Bukavac</> wywołał u ciebie <tag>Stan Cierpienie</>. <tag>Stany</> mogą mieć zbawienne lub potencjalnie śmiertelne działanie. Uważnie czytaj opis każdego z nich i nie daj się zaskoczyć."
"StresDescription","Żeby zaatakować wroga <tag>Silnym atakiem,</> musisz odebrać mu całe [FOCUS], co wywoła u niego <tag>Stan Rozbicie.</> Silne ataki są zdecydowanie potężniejsze od innych umiejętności i pozwolą szybciej zakończyć starcie. "
"Targeting","Wybierz wroga, którego chcesz zaatakować."
"Timeline","<tag>Percepcja</> pozwala ci przewidzieć działania wrogów. Żeby dowiedzieć się, co planują, rozwiń <tag>Kolejkę działań</> znajdującą się na górze ekranu."
"Timeline2","Każda <tag>Umiejętność</> ma swoje <tag>tempo</>.<br><br>Wolniejsze umiejętności są potężniejsze, ale wymagają przygotowania. Stwarza to ryzyko, że wróg zaatakuje cię pierwszy."
"UpgradeChains","Każda <tag>Umiejętność</> może zostać <tag>Ulepszona</>. Umieść <tag>Ulepszenie</> w wyznaczonym miejscu na ikonie <tag>Umiejętności</>. Każde ulepszenie zajmuje określoną przestrzeń. Decyduj mądrze."
"WinCondition","Jeżeli wrogowie stracą wszystkie [HP], wygrasz walkę. [HP] wrogów widnieją na paskach pod ich stopami. Twoje [HP] znajdziesz w lewym dolnym rogu ekranu."
"NewSalutor","Pokonujesz <tag>Bukavacza</>, salutora z Wymiaru <tag>Czynu</>, ale sam nie potrafisz go poskromić. Z pomocą przychodzi ci Rasputin.<br>Niespokojny salutor nie słucha rozkazów, odbiera ci możliwość rozwoju oraz osłabia twoją <tag>Percepcję</>. Na szczęście <tag>Rasputin ukoił jego gniew</>. Osiągnąłeś to, co nieosiągalne."
"NewSalutorSmall","Schwytane, ale niespokojne salutory nie będą słuchać twoich rozkazów. Udaj się do Rasputina, aby je poskromić."
"InsightsSmall","Użyj <tag>Percepcji</> aby odkryć to, co ukryte."
"Wardrobe","Jeżeli chcesz się przebrać, skorzystaj z szafy. Kolekcję ubrań możesz powiększyć, udając się do krawca."
"PlayerFlawPride","Wielu ludzi ma <tag>Skazy</>, ale tylko thaumaturgowie są świadomi ich istnienia. Są one rysami na osobowości, które rodzą się w wyniku burzliwych doświadczeń. To do nich lgną salutory i to one pozwalają młodym thaumaturgom zawrzeć Pakt z ich pierwszym salutorem. Twoją Skazą jest <tag>Duma</>. Jeżeli będziesz ją pielęgnować poprzez dokonywanie odpowiednich wyborów, z czasem wpłynie na bieg wydarzeń."
"UpyrVisions","Kiedy obszar spowija czerwona mgła, jest to znak, że <tag>Upyr</> pragnie ci coś pokazać. Kieruj się tam gdzie mgła jest rzadsza, trzymaj się z daleka od miejsc, w których gęstnieje. I pamiętaj, <tag>Upyr nie lubi być ignorowany.</> Jeśli wejdziesz we mgłę, wizja zniknie."
"RasputinBossFight","Rasputin używa twojej więzi z Bukavacem przeciwko tobie, wywołując u ciebie niekończący się stan <tag>Jarzmo Bukavaca</>. Tylko od ciebie zależy, czy będziesz dźwigać to brzemię, czy je z siebie zrzucisz, <tag>zrywając więź</> z tym salutorem. Po zerwaniu więzi, pozbędziesz się Jarzma, ale też <tag>utracisz Bukavaca na zawsze</>.<br><br>Rasputin nie omieszka wkrótce wykorzystać więzi z pozostałymi salutorami w ten sam sposób."
"InventoryPanel","Dobytek to wszystkie posiadane przez ciebie przedmioty, także te wchodzące w skład Kolekcji."
"MapPanel","Mapa pokazuje interesujące obiekty i miejsca, a także pozwala śledzic zadania."
"GlossaryPanel","Tutaj trafiają wszystkie zdobyte Spostrzeżenia i Wnioski, a także inne informacje, stanowiące cenne źródło wiedzy o świecie."
"ProgressionPanel","To miejsce, w którym możesz wydawać Punkty Thaumaturgii, zdobywać Ulepszenia czy przyglądać się możliwościom salutorów."
"JournalPanel","Zawiera opisy i cele twoich zadań. Oprócz przeglądania, możesz swobodnie zmieniać, które z nich chcesz śledzić."
"TimeSkipBench","W rozmaitych miejscach w Warszawie znajdują się ławeczki, na których możesz zaczekać na inną porę dnia. Pewne wydarzenia mogą odbyć się tylko o określonej porze, warto więc z nich korzystać."
"TrackingObjectives","Zadania posiadają <tag>wiele celów</>, swobodnie wybierz ten, który chcesz śledzić. Po wybraniu nowego celu, ten wskaże ci drogę.<br>Czasem ta droga jest na tyle tajemnicza, że umyka nawet wytrawnemu thaumaturgowi. Bez obaw. Pozostałe cele dostarczą sposobu na rozwiązanie zadania."
