"Key","Value"
"ACH_full_dim_heart_desc","Okaż trochę Serca. Rozwiń w pełni ten wymiar."
"ACH_full_dim_deed_desc","Okaż Czynne zaangażowanie i rozwiń w pełni ten wymiar."
"ACH_full_dim_mind_desc","Zrób to naUmyślnie - rozwiń w pełni wymiar Umysł."
"ACH_full_dim_word_desc","Słowo się rzekło. Rozwiń w pełni ten wymiar."
"ACH_full_pride_desc","Kieruj się Dumą i pozwól, żeby twoja Skaza dojrzała."
"ACH_all_upyr_visions_desc","Doświadcz wszystkich wizji, które chce ci pokazać Upyr."
"ACH_all","Thaumaturg"
"ACH_all_desc","Zdobądź wszystkie trofea."
"ACH_combat_no_salutor_lost","Nikomu was nie oddam"
"ACH_combat_no_salutor_lost_desc","Pokonaj Rasputina, nie poświęcając żadnego z salutorów."
