"Key","Value"
"LocationYear_q401_no_rasputin","20 sierpnia 1907"
"LocationYear_Paris","Paryż"
"LocationYear_Russia","Carskie Sioło"
"LocationYear_q401_committee_flat","1 stycznia 1906"
"LocationYear_q302_last_day_of_summer","22 września"
"StartBoard_Statement","Fool’s Theory to zespół osób o różnych poglądach, różnego wyznania, orientacji seksualnej i tożsamości płciowej. Naszym celem jest opowiadanie dojrzałych historii, które mają stanowić źródło refleksji dla Graczy.

Pragniemy zaznaczyć, że tworząc grę tak bardzo inspirowaną przeszłością, nie mogliśmy pominąć ukazania pewnych postaw i poglądów, słusznie uznawanych dziś za niedopuszczalne.

Losy postaci historycznych obecnych w grze są luźną interpretacją prawdziwych zdarzeń lub całkowitym wytworem naszej wyobraźni."
"SkipTutorialWarning","Czy na pewno pominąć ten samouczek?"
"ControllerDisconnectedWarning_1","Kontroler odłączony"
"ControllerDisconnectedWarning_2","Podłącz ponownie kontroler, aby kontynuować."
"Q102Demo_StartBoard","Nazywasz się <b>Wiktor Szulski.</> 

Jesteś <b>thaumaturgiem</> - potrafisz odczytywać sekrety ukryte w ludzkich duszach i rozmawiać z ciemnością.

<b>Twoje Miasto,</> z którego wygnano cię lata temu, woła, abyś zmierzył się ze swoją przeszłością. Podczas badania miejsca <b>nagłej i tajemniczej śmierci</> twojego ojca, zostałeś zaatakowany i <b>porwany.</>

Wygląda na to, że <b>Warszawa 1905</> roku ma dla ciebie plany na resztę wieczoru."
"Q102Demo_EndBoard","<b>Lelek</> jest twój.

W <b>Warszawie,</> za sekretami i mrokami ludzkich intencji, kryją się jeszcze <b>inne salutory,</> które mogą zwiększyć twoją thaumaturgiczną <b>potęgę.</>

Tylko od ciebie zależy, czy <b>Abaurycy Niedzic</> stanie się twym <b>wrogiem,</> czy wiernym <b>przyjacielem.</>

Premiera <b>Q4 2023</>

Dodaj do whishlisty."
"NewInsight_DrawConclusion","Wyciągnij wniosek"
"PointNoReturn_Popup","Stajesz w obliczu <tag>punktu zwrotnego w historii</>. Jeśli teraz zdecydujesz udać się razem z Rasputinem, stracisz możliwość ukończenia części zadań pobocznych."
"Warning_Popup","Droga bez powrotu"
"Log_QuestTracker","Zadanie wkrótce umknie:"
"AddToWhishlist_Button","Dodaj do whishlisty"
"NewInsight_HoldOnScreen","Zatrzymaj na ekranie"
"LocationStory_Title_Prologue","Prolog"
"LocationStory_Title_Act1","Akt I"
"LocationStory_Title_Act2","Akt II"
"LocationStory_Title_Act3","Akt III"
"LocationStory_Title_Epilogue","Epilog"
"LocationStory_Text_Prologue","Ku lepszemu"
"LocationStory_Text_Act1","Miasto, które nie zapomina"
"LocationStory_Text_Act2","Kto nie traci, ten nie zyskuje"
"LocationStory_Text_Act3","Apokryfy pisane krwią"
"LocationStory_Text_Epilogue","Ku nowemu"
"LocationYear_q301_start","19 września"
"LocationYear_q201_start","12 września"
"AllSaveSlotsTaken","Wszystkie miejsca na zapis są zajęte."
"SaveName","Nazwa:"
"OverrideSavePopup","Czy chcesz nadpisać istniejący zapis gry pod tą nazwą?"
"LoadSaveConfirmPopup","Czy na pewno chcesz wczytać ten zapis?"
"DeleteSaveConfirmPopup","Czy na pewno chcesz usunąć ten zapis?"
"Q001Demo_EndBoard","Premiera w tym roku"
"Q001Demo_AddToWishlist","Dodaj do listy życzeń"
"DifficultyLevel_Button_3","Walka jest wymagająca. Aby wygrać, musisz uważnie planować działania."
"DifficultyLevel_Button_1_Title","Fabularny"
"DifficultyLevel_Button_2_Title","Zbalansowany"
"DifficultyLevel_Button_3_Title","Wyzwania"
"DisplaySettingsWarning_Popup","Opcje wyświetlania wrócą do poprzednich ustawień za 15 sekund. Czy chcesz zatwierdzić obecne ustawienia?"
"Quest_TimeLimited","Zadanie limitowane"
"Quest_TimeRunningOut","Zadanie wkrótce wygaśnie"
"Quest_TimeIsOver","Zadanie wygasło"
"ResolutionPopupText","Czy chcesz zachować obecne ustawienia rozdzielczości?"
"RebindCancelText","Press escape to cancel."
"RebindPressKeyToBind","Press any button to bind it."
"VoiceLanguage","Dostępny jest nowy język dialogów - polski. Czy chcesz go teraz włączyć?"
"Chunks_NotDownloaded","Aby kontynuować rozgrywkę poczekaj na zakończenie pobierania."
"Chunks_Downloaded","Pobieranie ukończone, możesz już kontynuować rozgrywkę."
"PS_ActivityDescription","Otwórz ostatni zapis gry"
